City_ID,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
247,bilibino,68.05,166.44,49.14,75,100,14.05,RU,1597444682
248,lichinga,-13.31,35.24,60.8,67,75,4.7,MZ,1597444821
249,nouadhibou,20.93,-17.03,73.4,78,2,16.11,MR,1597444823
250,mangrol,21.12,70.12,79.83,90,100,19.3,IN,1597444824
251,buala,-8.14,159.59,83.7,69,51,3.27,SB,1597444825
252,meulaboh,4.14,96.13,77.05,81,82,4.16,ID,1597444827
253,tamandare,-8.76,-35.1,72.91,83,2,4.63,BR,1597444829
254,saint george,37.1,-113.58,106.0,12,1,8.05,US,1597444830
255,vardo,70.37,31.11,53.6,81,75,4.7,NO,1597444616
256,rio grande,-32.03,-52.1,59.0,89,76,4.0,BR,1597444837
257,flin flon,54.77,-101.86,75.2,38,75,11.41,CA,1597444838
258,matara,5.95,80.54,76.66,91,97,8.7,LK,1597444622
259,santa isabel do rio negro,-0.41,-65.02,81.41,61,18,2.57,BR,1597444840
260,khasan,42.43,130.64,74.55,78,40,2.71,RU,1597444842
261,angoche,-16.23,39.91,69.12,78,17,8.77,MZ,1597444619
262,manchester,53.48,-2.24,64.0,82,91,11.41,GB,1597444846
263,dayong,25.02,118.29,82.4,74,75,6.71,CN,1597444847
264,sarkand,45.41,79.92,62.06,31,88,5.95,KZ,1597444848
265,seoul,37.57,126.98,77.0,100,90,6.13,KR,1597444841
266,mancio lima,-7.61,-72.9,81.34,69,100,3.29,BR,1597444851
267,celestun,20.87,-90.4,84.69,70,70,16.35,MX,1597444852
268,chinsali,-10.54,32.08,55.65,69,9,7.78,ZM,1597444855
269,marzuq,14.4,46.47,86.31,29,97,0.98,YE,1597444857
270,hasaki,35.73,140.83,84.0,94,20,3.36,JP,1597444630
271,porto novo,6.5,2.6,75.2,94,40,6.93,BJ,1597444859
272,moerai,-22.43,-151.33,70.75,75,0,14.14,PF,1597444862
273,tshela,-4.98,12.93,69.3,87,24,3.76,CD,1597444863
274,storsteinnes,69.24,19.23,54.0,87,100,18.34,NO,1597444865
275,tavda,58.04,65.27,44.19,87,99,3.42,RU,1597444867
276,yulara,-25.24,130.99,41.0,75,0,4.7,AU,1597444684
277,marsa matruh,31.35,27.25,77.0,78,0,5.82,EG,1597444724
278,manggar,-2.88,108.27,80.42,82,40,8.52,ID,1597444871
279,jiwani,25.05,61.74,82.44,81,76,5.68,PK,1597444872
280,wawa,9.9,4.42,71.01,96,100,6.06,NG,1597444873
281,sumy,50.92,34.8,50.25,90,0,4.54,UA,1597444875
282,areia branca,-4.96,-37.14,79.95,61,15,23.2,BR,1597444876
283,kruisfontein,-34.0,24.73,45.0,88,0,3.78,ZA,1597444678
284,cherskiy,68.75,161.3,45.41,74,97,16.02,RU,1597444624
285,richards bay,-28.78,32.04,65.23,65,0,16.33,ZA,1597444882
286,senador jose porfirio,-2.59,-51.95,85.23,54,97,4.03,BR,1597444884
287,lovozero,68.0,35.01,44.28,94,100,0.89,RU,1597444885
288,poum,-20.23,164.02,70.47,70,9,8.14,NC,1597444667
289,san cristobal,7.77,-72.22,82.4,69,40,3.36,VE,1597444888
290,grootfontein,-19.57,18.12,50.83,43,0,4.07,NA,1597444889
291,jardim,-21.48,-56.14,85.15,34,93,4.36,BR,1597444891
292,kanchanaburi,14.63,99.1,73.17,89,100,1.48,TH,1597444892
293,cabo san lucas,22.89,-109.91,84.99,66,40,9.17,MX,1597444893
294,teguise,29.06,-13.56,73.4,73,20,17.22,ES,1597444895
295,gorontalo,0.54,123.06,75.04,78,20,1.81,ID,1597444896
296,puerto escondido,15.85,-97.07,87.8,58,75,6.93,MX,1597444897
297,ourossogui,15.61,-13.32,89.96,53,91,9.95,SN,1597444899
298,vestmannaeyjar,63.44,-20.27,51.19,86,26,4.94,IS,1597444900
299,serafimovskiy,54.42,53.8,50.18,95,16,2.62,RU,1597444901
300,penzance,50.12,-5.54,64.99,100,100,8.05,GB,1597444903
301,bengkulu,-3.8,102.27,75.83,80,27,4.74,ID,1597444393
302,saint-augustin,51.23,-58.65,57.02,59,1,4.54,CA,1597444608
303,tuktoyaktuk,69.45,-133.04,51.8,76,75,4.7,CA,1597444621
304,acapulco,16.86,-99.89,87.8,70,75,13.87,MX,1597444622
305,mildura,-34.2,142.15,48.99,100,40,4.7,AU,1597444910
306,vagur,61.47,-6.81,52.66,95,79,17.27,FO,1597444911
307,zyryanka,65.75,150.85,49.84,60,31,11.83,RU,1597444913
308,bonfim,3.08,-59.95,80.65,78,89,4.54,BR,1597444914
309,vao,-22.67,167.48,67.71,75,18,18.72,NC,1597444611
310,quincy,42.25,-71.0,80.01,53,100,11.41,US,1597444743
311,magadi,12.97,77.23,69.8,100,90,10.29,IN,1597444918
312,maceio,-9.67,-35.74,69.8,100,20,5.82,BR,1597444920
313,fort nelson,58.81,-122.7,68.0,49,75,10.29,CA,1597444915
314,sao jose da coroa grande,-8.9,-35.15,73.0,83,2,4.83,BR,1597444922
315,ostrovnoy,68.05,39.51,51.73,90,100,14.03,RU,1597444612
316,marawi,8.0,124.29,75.0,87,90,7.0,PH,1597444615
317,provideniya,64.38,-173.3,55.87,62,74,8.19,RU,1597444611
318,teya,60.38,92.63,55.51,81,44,3.06,RU,1597444930
319,payo,-3.75,103.64,71.51,93,52,1.68,ID,1597444932
320,tall kayf,37.08,41.07,79.79,29,0,10.51,TR,1597444933
321,singkang,2.1,102.8,77.0,88,20,2.24,MY,1597444934
322,kununurra,-15.77,128.73,66.2,30,49,7.16,AU,1597444672
323,rochegda,62.8,43.25,44.22,97,8,3.06,RU,1597444937
324,cap malheureux,-19.98,57.61,64.99,78,5,5.01,MU,1597444938
325,george town,5.41,100.34,78.8,94,20,2.24,MY,1597444939
326,lewistown,40.6,-77.57,87.8,38,1,10.29,US,1597444941
327,almaznyy,48.04,40.05,57.2,58,0,6.71,RU,1597444942
328,bardiyah,31.76,25.09,77.2,74,0,13.24,LY,1597444944
329,santa rosa,14.31,121.11,78.8,88,87,0.98,PH,1597444945
330,klaksvik,62.23,-6.59,53.6,100,76,5.82,FO,1597444634
331,hirado,33.36,129.55,89.01,88,40,3.36,JP,1597444948
332,along,28.17,94.77,72.18,89,98,0.85,IN,1597444949
333,talegaon dabhade,18.72,73.68,71.08,94,100,12.8,IN,1597444951
334,xining,36.62,101.77,52.0,79,48,1.03,CN,1597444952
335,la grande,45.32,-118.09,82.4,17,1,5.17,US,1597444872
336,maple creek,49.92,-109.48,76.82,24,63,14.56,CA,1597444956
337,tyrma,50.08,132.17,62.38,94,99,2.89,RU,1597444958
338,kalavai,12.77,79.42,79.43,66,100,9.28,IN,1597444960
339,pacific grove,36.62,-121.92,100.0,33,1,4.7,US,1597444961
340,gravdal,68.12,13.5,55.4,87,75,5.82,NO,1597444648
341,casma,-41.01,-73.12,46.4,75,100,11.41,CL,1597444964
342,les cayes,18.2,-73.75,83.57,77,53,5.86,HT,1597444965
343,mango,27.98,-82.31,91.0,70,1,4.38,US,1597444967
344,hanna,51.63,-111.9,72.0,30,33,8.01,CA,1597444968
345,egvekinot,66.32,-179.17,55.74,64,100,8.95,RU,1597444969
346,maniitsoq,65.42,-52.9,43.86,87,61,13.87,GL,1597444971
